country,name,is--country,world_region
lby,Libya,TRUE,africa
lie,Liechtenstein,TRUE,europe
ltu,Lithuania,TRUE,europe
lux,Luxembourg,TRUE,europe
mac,"Macao, China",TRUE,asia
mkd,"Macedonia, FYR",TRUE,europe
mdg,Madagascar,TRUE,africa
mwi,Malawi,TRUE,africa
mys,Malaysia,TRUE,asia
mdv,Maldives,TRUE,asia
mli,Mali,TRUE,africa
mlt,Malta,TRUE,europe
mhl,Marshall Islands,TRUE,asia
mtq,Martinique,TRUE,americas
mrt,Mauritania,TRUE,africa
mus,Mauritius,TRUE,africa
myt,Mayotte,TRUE,africa
mex,Mexico,TRUE,americas
fsm,"Micronesia, Fed. Sts.",TRUE,asia
mda,Moldova,TRUE,europe
mco,Monaco,TRUE,europe
mng,Mongolia,TRUE,asia
mne,Montenegro,TRUE,europe
msr,Montserrat,TRUE,americas
mar,Morocco,TRUE,africa
moz,Mozambique,TRUE,africa
mmr,Myanmar,TRUE,asia
nam,Namibia,TRUE,africa
nru,Nauru,TRUE,asia
npl,Nepal,TRUE,asia
nld,Netherlands,TRUE,europe
ant,Netherlands Antilles,TRUE,americas
ncl,New Caledonia,TRUE,asia
nzl,New Zealand,TRUE,asia
ngokar,Ngorno-Karabakh,TRUE,europe
nic,Nicaragua,TRUE,americas
ner,Niger,TRUE,africa
nga,Nigeria,TRUE,africa
niu,Niue,TRUE,asia
nfk,Norfolk Island,TRUE,asia
prk,North Korea,TRUE,asia
yem_north,North Yemen (former),TRUE,asia
cyp_nor,Northern Cyprus,TRUE,europe
mnp,Northern Mariana Islands,TRUE,asia
nor,Norway,TRUE,europe
omn,Oman,TRUE,asia
pak,Pakistan,TRUE,asia
plw,Palau,TRUE,asia
pse,Palestine,TRUE,asia
pan,Panama,TRUE,americas
png,Papua New Guinea,TRUE,asia
pry,Paraguay,TRUE,americas
per,Peru,TRUE,americas
phl,Philippines,TRUE,asia
pcn,Pitcairn,TRUE,asia
pol,Poland,TRUE,europe
prt,Portugal,TRUE,europe
pri,Puerto Rico,TRUE,americas
qat,Qatar,TRUE,asia
reu,Reunion,TRUE,africa
rou,Romania,TRUE,europe
rus,Russia,TRUE,europe
rwa,Rwanda,TRUE,africa
wsm,Samoa,TRUE,asia
smr,San Marino,TRUE,europe
stp,Sao Tome and Principe,TRUE,africa
sau,Saudi Arabia,TRUE,asia
sen,Senegal,TRUE,africa
srb,Serbia,TRUE,europe
scg,Serbia and Montenegro,TRUE,europe
scg_ex_kos,Serbia excluding Kosovo,TRUE,europe
syc,Seychelles,TRUE,africa
sle,Sierra Leone,TRUE,africa
sgp,Singapore,TRUE,asia
sxm,Sint Maarten (Dutch part),TRUE,americas
svk,Slovak Republic,TRUE,europe
svn,Slovenia,TRUE,europe
slb,Solomon Islands,TRUE,asia
som,Somalia,TRUE,africa
som_somland,Somaliland,TRUE,africa
zaf,South Africa,TRUE,africa
sgero_a_ssandw,South Georgia and the South Sandwich Islands,TRUE,americas
kor,South Korea,TRUE,asia
sosset,South Ossetia,TRUE,europe
ssd,South Sudan,TRUE,africa
yem_south,South Yemen (former),TRUE,asia
esp,Spain,TRUE,europe
lka,Sri Lanka,TRUE,asia
stbar,St. Barthélemy,TRUE,americas
shn,St. Helena,TRUE,africa
kna,St. Kitts and Nevis,TRUE,americas
lca,St. Lucia,TRUE,americas
stmar,St. Martin,TRUE,americas
maf,St. Martin (French part),TRUE,americas
vct,St. Vincent and the Grenadines,TRUE,americas
spm,St.-Pierre-et-Miquelon,TRUE,americas
sdn,Sudan,TRUE,africa
sur,Suriname,TRUE,americas
sjm,Svalbard,TRUE,europe
swz,Swaziland,TRUE,africa
swe,Sweden,TRUE,europe
che,Switzerland,TRUE,europe
syr,Syria,TRUE,asia
twn,Taiwan,TRUE,asia
tjk,Tajikistan,TRUE,asia
tza,Tanzania,TRUE,africa
tha,Thailand,TRUE,asia
tls,Timor-Leste,TRUE,asia
tgo,Togo,TRUE,africa
tkl,Tokelau,TRUE,asia
ton,Tonga,TRUE,asia
transn,Transnistria,TRUE,europe
tto,Trinidad and Tobago,TRUE,americas
tun,Tunisia,TRUE,africa
tur,Turkey,TRUE,europe
tkm,Turkmenistan,TRUE,asia
tca,Turks and Caicos Islands,TRUE,americas
tuv,Tuvalu,TRUE,asia
uga,Uganda,TRUE,africa
ukr,Ukraine,TRUE,europe
are,United Arab Emirates,TRUE,asia
gbr,United Kingdom,TRUE,europe
korea_union,United Korea (former),TRUE,asia
usa,United States,TRUE,americas
ury,Uruguay,TRUE,americas
usa_minor_out_isl,US Minor Outlying Islands,TRUE,americas
ussr,USSR,TRUE,europe
uzb,Uzbekistan,TRUE,asia
vut,Vanuatu,TRUE,asia
ven,Venezuela,TRUE,americas
vnm,Vietnam,TRUE,asia
vir,Virgin Islands (U.S.),TRUE,americas
wlf,Wallis et Futuna,TRUE,asia
pse_west_bank,West Bank,TRUE,asia
deu_west,West Germany,TRUE,europe
esh,Western Sahara,TRUE,africa
yem,Yemen,TRUE,asia
yug,Yugoslavia,TRUE,europe
zmb,Zambia,TRUE,africa
zwe,Zimbabwe,TRUE,africa
