country,time,life_expectancy
afg,1800,28.21
alb,1800,35.4
dza,1800,28.82
and,1800,
ago,1800,26.98
atg,1800,33.54
arg,1800,33.2
arm,1800,34
abw,1800,34.42
aus,1800,34.05
aut,1800,34.4
aze,1800,29.17
bhs,1800,35.18
bhr,1800,30.3
bgd,1800,25.5
brb,1800,32.12
blr,1800,36.2
bel,1800,40
blz,1800,26.5
ben,1800,31
bmu,1800,
btn,1800,28.8
bol,1800,33
bih,1800,35.1
bwa,1800,33.6
bra,1800,32
brn,1800,29.2
bgr,1800,35.8
bfa,1800,29.2
bdi,1800,31.5
khm,1800,35
cmr,1800,28.75
can,1800,39
cpv,1800,33.8
cym,1800,
caf,1800,30
tcd,1800,30.9
chl,1800,32
chn,1800,32
col,1800,32
com,1800,32.1
cod,1800,31.6
cog,1800,32.7
cri,1800,30.21
civ,1800,31.16
cub,1800,32.2
cyp,1800,38.5
cze,1800,34.95
dnk,1800,37.41
dji,1800,29.9
dma,1800,
dom,1800,29.9
ecu,1800,32.9
egy,1800,33
slv,1800,28.7
gnq,1800,29.8
eri,1800,30.2
est,1800,36.14
eth,1800,29.7
fji,1800,26.1
fin,1800,36.57
fra,1800,33.97
gab,1800,30.6
gmb,1800,28.8
geo,1800,31.87
deu,1800,38.37
gha,1800,28
grc,1800,36.6
grl,1800,33.87
grd,1800,31.4
gtm,1800,25.8
gin,1800,29.5
gnb,1800,32
guy,1800,31.12
hti,1800,29
hnd,1800,33.9
hkg,1800,34.9
hun,1800,36
isl,1800,42.85
ind,1800,25.44
idn,1800,30
irn,1800,25.6
irq,1800,31.2
irl,1800,38.3
isr,1800,32
ita,1800,29.69
jam,1800,34.2
jpn,1800,36.4
jor,1800,31.7
kaz,1800,26.2
ken,1800,25.5
kir,1800,24.9
kwt,1800,26
kgz,1800,23.94
lao,1800,31.9
lva,1800,33
lbn,1800,29.7
lso,1800,32.8
lbr,1800,31.1
lby,1800,33.1
ltu,1800,28.9
lux,1800,36.9
mac,1800,34.7
mkd,1800,36.1
mdg,1800,30.5
mwi,1800,30.3
mys,1800,30.6
mdv,1800,32.65
mli,1800,26.41
mlt,1800,28.7
mhl,1800,
mrt,1800,32
mus,1800,28.7
mex,1800,26.9
fsm,1800,26.7
mda,1800,33.15
mco,1800,
mng,1800,31.8
mne,1800,35.4
mar,1800,33.1
moz,1800,30.28
mmr,1800,30.8
nam,1800,32.4
nru,1800,
npl,1800,32.8
nld,1800,39.86
nzl,1800,34.05
nic,1800,25.4
ner,1800,30.8
nga,1800,30.4
prk,1800,26
nor,1800,37.92
omn,1800,32.3
pak,1800,25.8
plw,1800,
pan,1800,32.9
png,1800,31.5
pry,1800,35.5
per,1800,35.7
phl,1800,30.9
pol,1800,35.9
prt,1800,35.6
pri,1800,30.43
qat,1800,30.8
rou,1800,35.7
rus,1800,29.57
rwa,1800,31.8
wsm,1800,25.4
smr,1800,
stp,1800,31
sau,1800,32.1
sen,1800,25.2
srb,1800,35.5
syc,1800,37
sle,1800,25.1
sgp,1800,29.1
svk,1800,36.4
svn,1800,36.6
slb,1800,25.1
som,1800,29.4
zaf,1800,33.5
kor,1800,25.8
ssd,1800,26.67
esp,1800,29.5
lka,1800,32.6
kna,1800,
lca,1800,28.01
vct,1800,25.99
sdn,1800,31.4
sur,1800,32.9
swz,1800,32.3
swe,1800,32.16
che,1800,38
syr,1800,31.1
twn,1800,28.3
tjk,1800,24.24
tza,1800,32.2
tha,1800,30.4
tls,1800,28.95
tgo,1800,31.3
ton,1800,28.2
tto,1800,32.9
tun,1800,28.8
tur,1800,35
tkm,1800,24
tca,1800,
tuv,1800,
uga,1800,25.3
ukr,1800,36.6
are,1800,30.7
gbr,1800,38.65
usa,1800,39.41
ury,1800,32.9
uzb,1800,26.93
vut,1800,24.3
ven,1800,32.2
vnm,1800,32
pse,1800,32.1
yem,1800,23.39
zmb,1800,32.6
zwe,1800,33.7
hrv,1800,36.1
guf,1800,30.5
pyf,1800,25.6
glp,1800,27.66
gum,1800,27.5
mtq,1800,30.15
myt,1800,32.5
ant,1800,34.41
ncl,1800,26
reu,1800,33
vir,1800,33.4
esh,1800,34.75
akr_a_dhe,1800,
asm,1800,
aia,1800,
vgb,1800,
chanisl,1800,
cxr,1800,
cck,1800,
cok,1800,
cheslo,1800,
deu_east,1800,
eri_a_eth,1800,
fro,1800,
flk,1800,
gib,1800,
gbg,1800,
hos,1800,
gbm,1800,
jey,1800,
kos,1800,
lie,1800,
msr,1800,
niu,1800,
nfk,1800,
yem_north,1800,
mnp,1800,
pcn,1800,
scg,1800,
scg_ex_kos,1800,
yem_south,1800,
stbar,1800,
shn,1800,
stmar,1800,
spm,1800,
sjm,1800,
tkl,1800,
ussr,1800,
korea_union,1800,
wlf,1800,
deu_west,1800,
yug,1800,
ala,1800,
afg,1801,28.2
alb,1801,35.4
dza,1801,28.82
and,1801,
ago,1801,26.98
atg,1801,33.54
arg,1801,33.2
arm,1801,34
abw,1801,34.42
aus,1801,34.05
aut,1801,34.4
aze,1801,29.17
bhs,1801,35.18
bhr,1801,30.3
bgd,1801,25.5
brb,1801,32.12
blr,1801,36.2
bel,1801,40.01
blz,1801,26.5
ben,1801,31
bmu,1801,
btn,1801,28.8
bol,1801,33
bih,1801,35.1
bwa,1801,33.6
bra,1801,32
brn,1801,29.2
bgr,1801,35.84
bfa,1801,29.2
bdi,1801,31.5
khm,1801,35
cmr,1801,28.75
can,1801,39
cpv,1801,33.8
cym,1801,
caf,1801,30
tcd,1801,30.9
chl,1801,32
chn,1801,32
col,1801,32
com,1801,32.1
cod,1801,31.6
cog,1801,32.7
cri,1801,30.21
civ,1801,31.16
cub,1801,32.33
cyp,1801,38.5
cze,1801,34.95
dnk,1801,38.51
dji,1801,29.9
dma,1801,
dom,1801,29.9
ecu,1801,32.9
egy,1801,33
slv,1801,28.7
gnq,1801,29.8
eri,1801,30.2
est,1801,35.7
eth,1801,29.7
fji,1801,26.1
fin,1801,40.3
fra,1801,36.37
gab,1801,30.6
gmb,1801,28.8
geo,1801,31.87
deu,1801,38.37
gha,1801,28
grc,1801,36.6
grl,1801,33.87
grd,1801,31.4
gtm,1801,25.8
gin,1801,29.51
gnb,1801,32
guy,1801,31.12
hti,1801,29
hnd,1801,33.9
hkg,1801,34.9
hun,1801,36
isl,1801,33.88
ind,1801,25.44
idn,1801,30
irn,1801,25.6
irq,1801,31.2
irl,1801,38.3
isr,1801,32
ita,1801,29.69
jam,1801,34.2
jpn,1801,36.4
jor,1801,31.7
kaz,1801,26.2
ken,1801,25.5
kir,1801,24.9
kwt,1801,26
kgz,1801,23.94
lao,1801,31.9
lva,1801,33
lbn,1801,29.7
lso,1801,32.8
lbr,1801,31.1
lby,1801,33.1
ltu,1801,28.9
lux,1801,36.9
mac,1801,34.7
mkd,1801,36.1
mdg,1801,30.5
mwi,1801,30.3
mys,1801,30.6
mdv,1801,32.65
mli,1801,26.41
mlt,1801,28.7
mhl,1801,
mrt,1801,32
mus,1801,28.7
mex,1801,26.9
fsm,1801,26.7
mda,1801,33.15
mco,1801,
mng,1801,31.8
mne,1801,35.4
mar,1801,33.1
moz,1801,30.28
mmr,1801,30.8
nam,1801,32.4
nru,1801,
npl,1801,32.8
nld,1801,39.86
nzl,1801,34.05
nic,1801,25.4
ner,1801,30.8
nga,1801,30.4
prk,1801,26
nor,1801,35.82
omn,1801,32.3
pak,1801,25.8
plw,1801,
pan,1801,32.9
png,1801,31.5
pry,1801,35.5
per,1801,35.7
phl,1801,30.9
pol,1801,35.9
prt,1801,35.6
pri,1801,30.43
qat,1801,30.8
rou,1801,35.7
rus,1801,29.57
rwa,1801,25
wsm,1801,25.4
smr,1801,
stp,1801,31
sau,1801,32.1
sen,1801,25.2
srb,1801,35.5
