country,time,gdp_per_capita
afg,1800,603.0
alb,1800,667.0
dza,1800,716.0
and,1800,1197.0
ago,1800,618.0
atg,1800,757.0
arg,1800,1507.0
arm,1800,514.0
abw,1800,833.0
aus,1800,815.0
aut,1800,1848.0
aze,1800,775.0
bhs,1800,1445.0
bhr,1800,1235.0
bgd,1800,876.0
brb,1800,913.0
blr,1800,608.0
bel,1800,2412.0
blz,1800,579.0
ben,1800,597.0
bmu,1800,1227.0
btn,1800,629.0
bol,1800,854.0
bih,1800,669.0
bwa,1800,397.0
bra,1800,1109.0
brn,1800,1512.0
bgr,1800,1089.0
bfa,1800,480.0
bdi,1800,418.0
khm,1800,903.0
cmr,1800,626.0
can,1800,1314.0
cpv,1800,529.0
cym,1800,1039.0
caf,1800,424.0
tcd,1800,418.0
chl,1800,1026.0
chn,1800,985.0
col,1800,963.0
com,1800,696.0
cod,1800,485.0
cog,1800,575.0
cri,1800,775.0
civ,1800,812.0
cub,1800,864.0
cyp,1800,853.0
cze,1800,1915.0
dnk,1800,2013.0
dji,1800,752.0
dma,1800,663.0
dom,1800,667.0
ecu,1800,529.0
egy,1800,791.0
slv,1800,974.0
gnq,1800,356.0
eri,1800,532.0
est,1800,938.0
eth,1800,523.0
fji,1800,785.0
fin,1800,1244.0
fra,1800,1803.0
gab,1800,390.0
gmb,1800,813.0
geo,1800,543.0
deu,1800,1639.0
gha,1800,696.0
grc,1800,1371.0
grl,1800,393.0
grd,1800,959.0
gtm,1800,857.0
gin,1800,450.0
gnb,1800,777.0
guy,1800,1214.0
hti,1800,633.0
hnd,1800,675.0
hkg,1800,1007.0
hun,1800,1249.0
isl,1800,926.0
ind,1800,1052.0
idn,1800,994.0
irn,1800,977.0
irq,1800,970.0
irl,1800,1447.0
isr,1800,879.0
ita,1800,2225.0
jam,1800,1170.0
jpn,1800,1050.0
jor,1800,976.0
kaz,1800,1140.0
ken,1800,854.0
kir,1800,551.0
kwt,1800,1097.0
kgz,1800,508.0
lao,1800,864.0
lva,1800,751.0
lbn,1800,1081.0
lso,1800,393.0
lbr,1800,797.0
lby,1800,1050.0
ltu,1800,1270.0
lux,1800,1453.0
mac,1800,992.0
mkd,1800,690.0
mdg,1800,573.0
mwi,1800,350.0
mys,1800,997.0
mdv,1800,842.0
mli,1800,603.0
